	name
TIGR03448	mycothiol biosynthesis acetyltransferase
TIGR03755	integrating conjugative element protein, PFL_4711 family
TIGR01445	intein N-terminal splicing region
TIGR03083	uncharacterized Actinobacterial protein TIGR03083
TIGR00211	glycyl-tRNA synthetase, beta subunit
TIGR01651	cobaltochelatase, CobT subunit
TIGR00545	lipoyltransferase and lipoate-protein ligase
TIGR01868	CRISPR system CASCADE complex protein CasD
TIGR01332	cytochrome b559, alpha subunit
TIGR02058	conserved hypothetical protein
TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00967	preprotein translocase, SecY subunit
TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
TIGR01661	ELAV/HuD family splicing factor
TIGR00152	dephospho-CoA kinase
TIGR00191	homoserine kinase
TIGR03821	lysine-2,3-aminomutase-related protein
TIGR03595	Obg family GTPase CgtA, C-terminal extension
TIGR01514	nicotinate phosphoribosyltransferase
TIGR00412	redox-active disulfide protein 2
TIGR00203	cytochrome d ubiquinol oxidase, subunit II
TIGR03622	urea ABC transporter, permease protein UrtB
TIGR01277	thiamine ABC transporter, ATP-binding protein
TIGR02936	ferredoxin III, nif-specific
TIGR03346	ATP-dependent chaperone protein ClpB
TIGR02835	RNA polymerase sigma-E factor
TIGR00059	ribosomal protein L17
TIGR02367	pyrrolysyl-tRNA synthetase
TIGR02365	dihydroxyacetone kinase, L subunit
TIGR02890	sporulation protein, yteA family
TIGR00553	aminodeoxychorismate synthase, component I
TIGR01192	glucan exporter ATP-binding protein
TIGR00478	hemolysin TlyA family protein
TIGR03856	probable F420-dependent oxidoreductase, MSMEG_2906 family
TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
TIGR01379	thiamine-monophosphate kinase
TIGR00913	amino acid permease (yeast)
TIGR01131	ATP synthase F0, A subunit
TIGR02428	3-oxoacid CoA-transferase, B subunit
TIGR00460	methionyl-tRNA formyltransferase
TIGR00561	NAD(P)(+) transhydrogenase (AB-specific), alpha subunit
TIGR00747	3-oxoacyl-[acyl-carrier-protein] synthase 3
TIGR00871	glucose-6-phosphate dehydrogenase
TIGR03367	queuosine biosynthesis protein QueD
TIGR01548	HAD hydrolase TIGR01548
TIGR03106	hydrolase, peptidase M42 family
TIGR01914	CRISPR-associated protein, Csa4 family
TIGR03591	polyribonucleotide nucleotidyltransferase
TIGR00128	malonyl CoA-acyl carrier protein transacylase
TIGR02187	Glutaredoxin-like domain protein
TIGR01787	squalene/oxidosqualene cyclases
TIGR03023	undecaprenyl-phosphate glucose phosphotransferase
TIGR00737	putative TIM-barrel protein, nifR3 family
TIGR00365	monothiol glutaredoxin, Grx4 family
TIGR03177	Flp pilus assembly protein CpaB
TIGR00802	transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
TIGR00437	ferrous iron transport protein B
TIGR02138	phosphate ABC transporter, permease protein PstC
TIGR00434	phosophoadenylyl-sulfate reductase
TIGR02064	sulfite reductase, dissimilatory-type alpha subunit
TIGR03041	chlorophyll a/b binding light-harvesting protein
TIGR02253	HAD hydrolase TIGR02253
TIGR01865	CRISPR-associated protein, Csn1 family
TIGR02063	ribonuclease R
TIGR02517	general secretion pathway protein D
TIGR01696	phosphopentomutase
TIGR01501	methylaspartate mutase, S subunit
TIGR03031	CRISPR-associated protein, Csx12 family
TIGR03749	integrating conjugative element protein, PFL_4704 family
TIGR03073	release factor H-coupled RctB family protein
TIGR00405	ribosomal protein L24
TIGR01948	electron transport complex, RnfABCDGE type, E subunit
TIGR02076	putative uridylate kinase
TIGR01746	thioester reductase domain
TIGR02630	xylose isomerase
TIGR02192	conserved hypothetical protein HtrL
TIGR00898	cation transport protein
TIGR02364	dihydroxyacetone kinase, phosphotransfer subunit
TIGR00359	PTS system, cellobiose-specific IIC component
TIGR02283	lytic murein transglycosylase
TIGR02808	conserved hypothetical protein TIGR02808
TIGR03234	hydroxypyruvate isomerase
TIGR03201	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
TIGR01304	IMP dehydrogenase family protein
TIGR01256	molybdate ABC transporter, periplasmic molybdate-binding protein
TIGR03529	gliding motility-associated lipoprotein GldK
TIGR02586	CRISPR-associated protein DevS
TIGR00464	glutamyl-tRNA synthetase
TIGR02913	probable extracellular repeat, HAF family
TIGR00282	metallophosphoesterase, MG_246/BB_0505 family
TIGR01030	ribosomal protein L34
TIGR00172	septum formation protein Maf
TIGR02843	cytochrome o ubiquinol oxidase, subunit I
TIGR03828	1-phosphofructokinase
TIGR00238	KamA family protein
TIGR03270	putative methanogen marker protein 4
TIGR02374	nitrite reductase [NAD(P)H], large subunit
TIGR03312	probable selenate reductase, FAD-binding subunit
TIGR00006	S-adenosyl-methyltransferase MraW
TIGR02659	methylamine dehydrogenase light chain
TIGR00300	conserved hypothetical protein TIGR00300
TIGR00673	cyanate hydratase
TIGR02809	phasin family protein
TIGR01940	NADH:ubiquinone oxidoreductase, Na(+)-translocating, E subunit
TIGR03679	arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein
TIGR02548	CRISPR system CASCADE complex protein CasB
TIGR00926	Oligopeptide transporter (Peptide:H+ symporter)
TIGR03746	integrating conjugative element protein, PFL_4703 family
TIGR03223	putative phosphonate metabolism protein
TIGR00167	ketose-bisphosphate aldolases
TIGR00920	3-hydroxy-3-methylglutaryl-coenzyme A reductase
TIGR03731	lantibiotic, gallidermin/nisin family
TIGR01943	electron transport complex, RnfABCDGE type, A subunit
TIGR01033	DNA-binding regulatory protein, YebC/PmpR family
TIGR02453	conserved hypothetical protein TIGR02453
TIGR00392	isoleucine--tRNA ligase
TIGR03882	bacteriocin biosynthesis cyclodehydratase domain
TIGR00137	tRNA:m(5)U-54 methyltransferase
TIGR01862	nitrogenase component I, alpha chain
TIGR03285	putative methanogenesis marker protein 14
TIGR01016	succinate-CoA ligase, beta subunit
TIGR01667	integral membrane protein, YccS/YhfK family
TIGR01454	AHBA synthesis associated protein
TIGR01219	phosphomevalonate kinase
TIGR00993	chloroplast protein import component Toc86/159, G and M domains
TIGR02226	N-terminal double-transmembrane domain
TIGR02209	cell division protein FtsL
TIGR00295	conserved hypothetical protein TIGR00295
TIGR02534	muconate and chloromuconate cycloisomerases
TIGR00014	arsenate reductase (glutaredoxin)
TIGR02848	stage III sporulation protein AC
TIGR00370	conserved hypothetical protein TIGR00370
TIGR00340	zinc finger protein ZPR1 homolog
TIGR01742	Staphylococcus tandem lipoproteins
TIGR03800	pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2
TIGR02689	arsenate reductase, glutathione/glutaredoxin type
TIGR00433	biotin synthase
TIGR03817	helicase/secretion neighborhood putative DEAH-box helicase
TIGR03822	lysine-2,3-aminomutase-related protein
TIGR02287	phenylacetic acid degradation protein PaaY
TIGR02756	type-F conjugative transfer system secretin TraK
TIGR03867	MprA protease C-terminal sorting domain
TIGR02927	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase
TIGR02094	alpha-glucan phosphorylases
TIGR00885	L-fucose:H+ symporter permease
TIGR03197	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain
TIGR00305	probable toxin-antitoxin system toxin component, PIN family
TIGR01832	2-deoxy-D-gluconate 3-dehydrogenase
TIGR01824	aminodeoxychorismate synthase, component I
TIGR02156	phenylacetate-CoA oxygenase, PaaG subunit
TIGR02106	cyd operon protein YbgT
TIGR02616	tryptophanase leader peptide
TIGR01216	ATP synthase F1, epsilon subunit
TIGR01341	aconitate hydratase 1
TIGR02115	K+-transporting ATPase, F subunit
TIGR01029	ribosomal protein S7
TIGR00430	queuine tRNA-ribosyltransferase
TIGR00016	acetate kinase
TIGR01577	oligosaccharide amylase
TIGR00042	non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family
TIGR03116	CRISPR-associated protein, Csf3 family
TIGR00933	potassium uptake protein, TrkH family
TIGR02778	DNA polymerase LigD, polymerase domain
TIGR01071	ribosomal protein L15
TIGR00941	Multicomponent Na+:H+ antiporter, MnhC subunit
TIGR02632	rhamnulose-1-phosphate aldolase/alcohol dehydrogenase
TIGR03313	probable selenate reductase, molybdenum-binding subunit
TIGR00175	isocitrate dehydrogenase, NAD-dependent
TIGR00082	ribosome-binding factor A
TIGR02392	alternative sigma factor RpoH
TIGR00904	cell shape determining protein, MreB/Mrl family
TIGR03565	alkanesulfonate monooxygenase, FMNH(2)-dependent
TIGR00534	opcA protein
TIGR02320	phosphoenolpyruvate phosphomutase
TIGR02019	bacteriochlorophyll 4-vinyl reductase
TIGR01968	septum site-determining protein MinD
TIGR01405	DNA polymerase III, alpha subunit, Gram-positive type
TIGR00469	phenylalanyl-tRNA synthetase
TIGR03280	putative methanogenesis marker protein 11
TIGR00960	Type II (General) Secretory Pathway (IISP) Family protein
TIGR03268	putative methanogenesis marker protein 3
TIGR00914	heavy metal efflux pump, CzcA family
TIGR01638	Arabidopsis thaliana cystatin-related protein
TIGR01990	beta-phosphoglucomutase
TIGR01527	nicotinamide-nucleotide adenylyltransferase
TIGR01632	ribosomal protein L11
TIGR02976	phage shock protein B
TIGR03806	conserved hypothetical protein, HNE_0200 family
TIGR01828	pyruvate, phosphate dikinase
TIGR02011	iron-sulfur cluster assembly protein IscA
TIGR03046	photosystem II cytochrome PsbV2
TIGR01418	phosphoenolpyruvate synthase
TIGR03226	2-aminoethylphosphonate ABC transporter, permease protein
TIGR02526	ethanolamine utilization protein, PduT homolog
TIGR02951	dimethylsulfoxide reductase, chain B
TIGR02613	mobile mystery protein B
TIGR03016	uncharacterized protein,  PEP-CTERM system associated
TIGR00930	K-Cl cotransporter
TIGR01156	cytb6/f complex subunit IV
TIGR00004	putative endoribonuclease L-PSP
TIGR00571	DNA adenine methylase
TIGR01343	homoaconitate hydratase family protein
TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit
TIGR00932	transporter, monovalent cation:proton antiporter-2 (CPA2) family
TIGR01883	peptidase T-like protein
TIGR00770	transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
TIGR02067	histidinol-phosphate phosphatase HisN
TIGR03169	pyridine nucleotide-disulfide oxidoreductase family protein
TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
TIGR01779	TonB-dependent vitamin B12 receptor
TIGR02776	DNA ligase D
TIGR01305	guanosine monophosphate reductase
TIGR00119	acetolactate synthase, small subunit
TIGR00983	mitochondrial import inner membrane translocase subunit
TIGR03027	putative polysaccharide export protein, PEP-CTERM sytem-associated
TIGR00778	alkylhydroperoxidase AhpD family core domain
TIGR02573	type III secretion protein LcrG
TIGR03011	sulfur relay protein TusB/DsrH
TIGR03228	anthranilate 1,2-dioxygenase, large subunit
TIGR03847	conserved hypothetical protein
TIGR02960	RNA polymerase sigma-70 factor, TIGR02960 family
TIGR02333	2-methylisocitrate dehydratase, Fe/S-dependent
TIGR03661	type 1 secretion C-terminal target domain (VC_A0849 subclass)
TIGR03254	oxalyl-CoA decarboxylase
TIGR00027	putative methyltransferase, TIGR00027 family
TIGR01594	phage holin, lambda family
TIGR03619	probable F420-dependent oxidoreductase, Rv2161c family
TIGR01333	cytochrome b559, beta subunit
TIGR01207	glucose-1-phosphate thymidylyltransferase
TIGR01866	CRISPR-associated protein, Csn2 family
TIGR02471	sucrose phosphate synthase, sucrose phosphatase-like domain
TIGR01648	hnRNP-R, Q splicing factor family
TIGR01474	4-hydroxybenzoate polyprenyl transferase
TIGR01640	F-box protein interaction domain
TIGR00667	leucyl/phenylalanyl-tRNA--protein transferase
TIGR01782	TonB-dependent receptor
TIGR01718	uridine phosphorylase
TIGR00111	probable translation factor pelota
TIGR02700	archaeoflavoprotein, MJ0208 family
TIGR02901	cytochrome aa3 quinol oxidase, subunit IV
TIGR02786	double-strand break repair protein AddB
TIGR02899	spore coat assembly protein SafA
TIGR00455	adenylylsulfate kinase
TIGR00870	transient-receptor-potential calcium channel protein
TIGR00313	cobyric acid synthase CobQ
TIGR03164	OHCU decarboxylase
TIGR03670	DNA-directed RNA polymerase subunit B
TIGR03275	putative methanogenesis marker protein 8
TIGR03293	phosphonate C-P lyase system protein PhnG
TIGR00490	translation elongation factor aEF-2
TIGR01410	twin arginine-targeting protein translocase TatB
TIGR02104	pullulanase, type I
TIGR01404	type III secretion protein, YscU/HrpY family
TIGR00887	phosphate:H+ symporter
TIGR00689	sugar-phosphate isomerases, RpiB/LacA/LacB family
TIGR01157	photosynthetic reaction center L subunit
TIGR00722	hydrolyase, tartrate alpha subunit/fumarate domain protein, Fe-S type
TIGR00562	protoporphyrinogen oxidase
TIGR00368	Mg chelatase-like protein
TIGR01721	putative AMP nucleosidase
TIGR01191	heme exporter protein CcmC
TIGR03649	ergot alkaloid biosynthesis protein,  AFUA_2G17970 family
TIGR03211	catechol 2,3 dioxygenase
TIGR02648	DNA replication terminus site-binding protein
TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR02565	CRISPR-associated protein, Csy2 family
TIGR00848	PTS system, fructose subfamily, IIA component
TIGR00657	aspartate kinase
TIGR01821	5-aminolevulinic acid synthase
TIGR00552	NAD+ synthetase
TIGR03455	ATP phosphoribosyltransferase, C-terminal domain
TIGR01631	trypanosome RHS family
TIGR02102	pullulanase, extracellular
TIGR01890	amino-acid N-acetyltransferase
TIGR01974	proton-translocating NADH-quinone oxidoreductase, chain L
TIGR00461	glycine dehydrogenase
TIGR03237	dnd system-associated protein 2
TIGR01440	conserved hypothetical protein TIGR01440
TIGR03218	4-oxalocrotonate decarboxylase
TIGR03187	DGQHR domain
TIGR02200	Glutaredoxin-like protein
TIGR03838	glutamyl-queuosine tRNA(Asp) synthetase
TIGR03429	aromatic prenyltransferase, DMATS type
TIGR00946	auxin efflux carrier
TIGR03142	cytochrome c-type biogenesis protein CcmI
TIGR01240	diphosphomevalonate decarboxylase
TIGR01371	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
TIGR02267	Myxococcus xanthus paralogous family TIGR02267
TIGR00975	phosphate ABC transporter,  phosphate-binding protein PstS
TIGR00322	diphthamide biosynthesis protein 2-related domain
TIGR00698	conserved hypothetical protein
TIGR03217	4-hydroxy-2-oxovalerate aldolase
TIGR02391	conserved hypothetical protein TIGR02391
TIGR02433	tRNA(Ile)-lysidine synthetase, C-terminal domain
TIGR02002	PTS system, glucose-specific IIBC component
TIGR00060	ribosomal protein L18
TIGR02164	trimethylamine-N-oxide reductase TorA
TIGR01906	integral membrane protein TIGR01906
TIGR02720	pyruvate oxidase
TIGR02900	stage V sporulation protein B
TIGR03264	methyl-coenzyme M reductase I operon protein C
TIGR02654	circadian clock protein KaiB
TIGR03473	hopanoid biosynthesis associated protein HpnK
TIGR03773	putative ABC transporter-associated repeat protein
TIGR00811	silicon transporter
TIGR02152	ribokinase
TIGR01382	intracellular protease, PfpI family
TIGR00229	PAS domain S-box
TIGR03723	putative glycoprotease GCP
TIGR01680	vegetative storage protein
TIGR02060	adenylylsulfate reductase, beta subunit
TIGR00599	DNA repair protein rad18
TIGR02579	CRISPR-associated protein, Csx3 family
TIGR02804	TonB system transport protein ExbD
TIGR01673	phage holin, LL-H family
TIGR00459	aspartyl-tRNA synthetase
TIGR00889	nucleoside transporter
TIGR01370	possible cysteinyl-tRNA synthetase
TIGR01386	heavy metal sensor kinase
TIGR03267	putative methanogenesis marker protein 2
TIGR01321	trp operon repressor
TIGR02767	Ti-type conjugative transfer system protien TraG
TIGR03107	glutamyl aminopeptidase
TIGR01861	nitrogenase iron-iron protein, alpha chain
TIGR03311	selenium-dependent molybdenum hydroxylase 1
TIGR00762	EDD domain protein, DegV family
TIGR01611	phage major tail tube protein
TIGR02135	phosphate transport system regulatory protein PhoU
TIGR00034	3-deoxy-7-phosphoheptulonate synthase
TIGR01053	zinc finger domain, LSD1 subclass
TIGR03730	tungstate ABC transporter binding protein WtpA
TIGR03734	PRTRC system ParB family protein
TIGR02038	periplasmic serine peptidase DegS
TIGR02833	stage III sporulation protein AB
TIGR02894	transcription factor, RsfA family
TIGR01217	acetoacetate-CoA ligase
TIGR03438	probable methyltransferase
TIGR01803	chorismate mutase related enzymes
TIGR03858	probable oxidoreductase, LLM family
TIGR00163	phosphatidylserine decarboxylase
TIGR03735	PRTRC system protein A
TIGR02288	phenylacetic acid degradation protein paaN
TIGR00563	ribosomal RNA small subunit methyltransferase B
TIGR02686	conjugative relaxase domain
TIGR00700	4-aminobutyrate transaminase
TIGR02385	addiction module toxin, RelE/StbE family
TIGR03340	phosphonate utilization associated putative membrane protein
TIGR03301	2-aminoethylphosphonate aminotransferase
TIGR00837	aromatic amino acid transport protein
TIGR02188	acetate--CoA ligase
TIGR00053	addiction module toxin component, YafQ family
TIGR01482	Sucrose-phosphate phosphatase subfamily
TIGR01167	LPXTG-motif cell wall anchor domain
TIGR02790	nickel ABC transporter, permease subunit NikC
TIGR02917	putative PEP-CTERM system TPR-repeat lipoprotein
TIGR01127	threonine dehydratase
TIGR03038	photosystem II reaction center protein PsbM
TIGR03339	aminoethylphosphonate catabolism associated LysR family transcriptional regulator
TIGR00213	D,D-heptose 1,7-bisphosphate phosphatase
TIGR02447	putative thioesterase domain
TIGR01249	prolyl aminopeptidase
TIGR00180	ParB-like partition proteins
TIGR01352	TonB family C-terminal domain
TIGR02824	putative NAD(P)H quinone oxidoreductase, PIG3 family
TIGR00754	bacterioferritin
TIGR01005	exopolysaccharide transport protein family
TIGR02304	probable adenylate-forming enzyme
TIGR00755	dimethyladenosine transferase
TIGR01091	uracil phosphoribosyltransferase
TIGR01707	general secretion pathway protein I
TIGR03703	glycerol-3-phosphate O-acyltransferase
TIGR01923	O-succinylbenzoate-CoA ligase
TIGR03864	ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system
TIGR03445	1D-myo-inosityl-2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
TIGR02370	methyltransferase cognate corrinoid proteins, Methanosarcina family
TIGR02285	conserved hypothetical protein
TIGR02701	carboxysome shell carbonic anhydrase
TIGR00642	methylmalonyl-CoA mutase, small subunit
TIGR00418	threonyl-tRNA synthetase
TIGR01152	photosystem II D2 protein (photosystem q(a) protein)
TIGR02994	ectoine utilization protein EutE
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00112	pyrroline-5-carboxylate reductase
TIGR00842	transporter, betaine/carnitine/choline transporter (BCCT) family
TIGR01356	3-phosphoshikimate 1-carboxyvinyltransferase
TIGR02523	type IV pilus modification protein PilV
TIGR03316	probable carbamoyltransferase YgeW
TIGR02324	phosphonate C-P lyase system protein PhnL
TIGR03576	pyridoxal phosphate enzyme, MJ0158 family
TIGR03114	CRISPR-associated protein, Csf1 family
TIGR00730	conserved hypothetical protein TIGR00730
TIGR01096	lysine-arginine-ornithine-binding periplasmic protein
TIGR03717	integral membrane protein, YjbE family
TIGR03719	ATP-binding cassette protein, ChvD family
TIGR02214	stage V sporulation protein D
TIGR02480	flagellar motor switch protein FliN
TIGR00573	exonuclease, DNA polymerase III, epsilon subunit family
TIGR03810	arginine/ornithine antiporter
TIGR02781	P-type conjugative transfer protein VirB9
TIGR03803	Gloeo_Verruco repeat
TIGR00436	GTP-binding protein Era
TIGR03306	alternate F1F0 ATPase, F0 subunit A
TIGR03802	aspartate-alanine antiporter
TIGR03752	integrating conjugative element protein, PFL_4705 family
TIGR00311	putative translation initiation factor aIF-2, beta subunit
TIGR01659	sex-lethal family splicing factor
TIGR00244	transcriptional regulator NrdR
TIGR02810	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit
TIGR01766	transposase, IS605 OrfB family
TIGR02782	P-type conjugative transfer ATPase TrbB
TIGR02053	mercuric reductase
TIGR03692	ATP-dependent protease HslVU, peptidase subunit
TIGR02213	lipoprotein releasing system, transmembrane protein LolE
TIGR03463	2,3-oxidosqualene cyclase
TIGR01697	inosine guanosine and xanthosine phosphorylase family
TIGR02593	CRISPR-associated protein Cas5
TIGR01848	polyhydroxyalkanoate synthesis repressor PhaR
TIGR02938	nitrogen fixation negative regulator NifL
TIGR03594	ribosome-associated GTPase EngA
TIGR01790	lycopene cyclase family protein
TIGR00272	diphthamide biosynthesis protein 2
TIGR01609	Plasmodium falciparum uncharacterized protein TIGR01609
TIGR03511	gliding motility-associated lipoprotein GldH
TIGR03317	folate-binding protein YgfZ
TIGR03139	7-cyano-7-deazaguanine reductase
TIGR02585	CRISPR-associated regulatory protein, DevR family
TIGR02529	ethanolamine utilization protein EutJ family protein
TIGR03321	alternate F1F0 ATPase, F0 subunit B
TIGR02435	precorrin-3B synthase
TIGR03423	penicillin-binding protein 2
TIGR03866	PQQ-dependent catabolism-associated beta-propeller protein
TIGR01910	peptidase, ArgE/DapE family
TIGR01174	cell division protein FtsA
TIGR03266	putative methanogenesis marker protein 1
TIGR02265	Myxococcus xanthus paralogous family TIGR02265
TIGR03877	KaiC domain protein, Ph0284 family
TIGR02037	protease DoAU  Haft DHTC  460.00 460.00NC  325.00 325.00AL  clustalwIT  subfamilyEN  periplasmic serine protease, Do/DeqQ familyEC  3.4.21.-TP  TIGRFAMsCC  This family consists of a set proteins various designated DegP, heat shock protein HtrA, and protease DO. The ortholog in Pseudomonas aeruginosa is designated MucD and is found in an operon that controls mucoid phenotype. This family also includes the DegQ (HhoA) paralog in E. coli which can rescue a DegP mutant, but not the smaller DegS paralog, which cannot. Members of this family are located in the periplasm and have separable functions as both protease and chaperone. Members have a trypsin domain and two copies of a PDZ domain. This protein protects bacteria from thermal and other stresses and may be important for the survival of bacterial pathogens.// The chaperone function is dominant at low temperatures, whereas the proteolytic activity is turned on at elevated temperatures. [2]DR  PFAM; PF00089; trypsin\rDR  PFAM; PF00595; PDZ domain\rRN  [1]\rRM  11919638\rRT  Crystal structure of DegP (HtrA) reveals a new protease-chaperone machine.\rRA  Krojer T, Garrido-Franco M, Huber R, Ehrmann M, Clausen T.\rRL  Nature. 2002 Mar 28;416(6879):455-9.\rRN  - [2]\rRM  - 12458220\rDP  - 2003 Feb 21\rRT  - Crystal structure of the protease domain of a heat-shock protein HtrA from Thermotoga maritima.\r
TIGR01226	phenylalanine ammonia-lyase
TIGR01170	ribosomal protein L1, mitochondrial
TIGR03324	alternate F1F0 ATPase, F1 subunit alpha
TIGR03216	2-hydroxymuconic semialdehyde dehydrogenase
TIGR01563	putative phage head-tail adaptor
TIGR01957	NADH-quinone oxidoreductase, B subunit
TIGR02394	RNA polymerase sigma factor RpoS
TIGR01229	arginase
TIGR01124	threonine ammonia-lyase, biosynthetic
TIGR01258	phosphoglycerate mutase 1 family
TIGR02448	conserverd hypothetical protein
TIGR02688	conserved hypothetical protein TIGR02688
TIGR03813	putative glutamate/gamma-aminobutyrate antiporter
TIGR00017	cytidylate kinase
TIGR01366	putative phosphoserine aminotransferase
TIGR02725	phenylphosphate carboxylase, gamma subunit
TIGR02965	xanthine dehydrogenase, molybdopterin binding subunit
TIGR01078	arginine deiminase
TIGR01512	cadmium-translocating P-type ATPase
TIGR01302	inosine-5'-monophosphate dehydrogenase
TIGR03000	Planctomycetes uncharacterized domain TIGR03000
TIGR03823	flagellar regulatory protein FliZ
TIGR00020	peptide chain release factor 2
TIGR01461	transcription elongation factor GreB
TIGR00403	NADH-plastoquinone oxidoreductase, I subunit
TIGR01075	DNA helicase II
TIGR02449	conserved hypothetical protein TIGR02449
TIGR01983	3-demethylubiquinone-9 3-O-methyltransferase
TIGR01139	cysteine synthase A
TIGR02743	type-F conjugative transfer system protein TraW
TIGR00502	glucosamine-6-phosphate isomerase
TIGR02484	CitB domain protein
TIGR03816	helicase/secretion neighborhood TadE-like protein
TIGR01925	anti-sigma F factor
TIGR02488	flagellar basal-body rod protein FlgG
TIGR00183	isocitrate dehydrogenase, NADP-dependent
TIGR02205	cell division protein ZipA
TIGR02668	probable molybdenum cofactor biosynthesis protein A
TIGR02645	putative thymidine phosphorylase
TIGR00292	thiazole biosynthesis enzyme
TIGR01351	adenylate kinases
TIGR03523	gliding motility associated protien GldN
TIGR00864	polycystin cation channel protein
TIGR00788	folate/biopterin transporter
TIGR00623	cell division inhibitor SulA
TIGR03727	urea ABC transporter, permease protein UrtC
TIGR03059	photosystem I protein PsaO
TIGR01392	homoserine O-acetyltransferase
TIGR01869	CRISPR system CASCADE complex protein CasC
TIGR02047	Cd(II)/Pb(II)-responsive transcriptional regulator
TIGR03088	sugar transferase, PEP-CTERM/EpsH1 system associated
TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
TIGR03327	AMP phosphorylase
TIGR03374	1-pyrroline dehydrogenase
TIGR00264	alpha-NAC homolog
TIGR02969	aldehyde oxidase
TIGR00817	Tpt phosphate/phosphoenolpyruvate translocator
TIGR01712	phage N-6-adenine-methyltransferase
TIGR01935	RraA family
TIGR03585	pseudaminic acid biosynthesis N-acetyl transferase
TIGR00067	glutamate racemase
TIGR03471	hopanoid biosynthesis associated radical SAM protein HpnJ
TIGR03033	putative phage-type endonuclease
TIGR03172	probable selenium-dependent hydroxylase accessory protein YqeC
TIGR01102	type III secretion apparatus protein, YscR/HrcR family
TIGR00499	lysyl-tRNA synthetase
TIGR03722	universal archaeal protein Kae1
TIGR03176	allantoate amidohydrolase
TIGR02261	benzoyl-CoA reductase, subunit D
TIGR02186	conserved hypothetical protein
TIGR00934	potassium uptake protein, Trk family
TIGR03638	CRISPR-associated endonuclease Cas1, ECOLI subtype
TIGR01886	dipeptidase PepV
TIGR02062	exoribonuclease II
TIGR01020	ribosomal protein S5
TIGR02699	archaeoflavoprotein AfpA
TIGR03333	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
TIGR01254	ABC transporter periplasmic binding protein, thiB subfamily
TIGR02199	bifunctional protein RfaE, domain II
TIGR03472	hopanoid biosynthesis associated glycosyl transferase protein HpnI
TIGR03761	integrating conjugative element protein, PFL_4669 family
TIGR03721	BclB C-terminal domain
TIGR01836	poly(R)-hydroxyalkanoic acid synthase, class III, PhaC subunit
TIGR01829	acetoacetyl-CoA reductase
TIGR01538	phage portal protein, SPP1 family
TIGR00653	glutamine synthetase, type I
TIGR02946	acyltransferase, WS/DGAT/MGAT
TIGR01496	dihydropteroate synthase
TIGR02650	ribonuclease Z, Thermotoga type
TIGR01535	glucan 1,4-alpha-glucosidase
TIGR00325	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TIGR01319	conserved hypothetical protein
TIGR01076	sortase family protein
TIGR03262	putative 2-aminoethylphosphonate ABC transporter, permease protein
TIGR00909	amino acid transporter
TIGR02726	phenylphosphate carboxylase, delta subunit
TIGR00997	intracellular septation protein A
TIGR03836	cytadherence high molecular weight protein 1 N-terminal region
TIGR03105	glutamine synthetase, type III
TIGR00096	putative S-adenosylmethionine-dependent methyltransferase, YraL family
TIGR01670	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family
TIGR01564	S-layer protein
TIGR00164	phosphatidylserine decarboxylase homolog
TIGR01239	galactose-1-phosphate uridylyltransferase
TIGR02329	propionate catabolism operon regulatory protein PrpR
TIGR02183	Glutaredoxin, GrxA family
TIGR03250	putative phosphonoacetaldehyde dehydrogenaseAU  Selengut JTC  800.00 800.00NC  500.00 500.00AL  manualIT  equivalogEN  putative phosphonoacetaldehyde dehydrogenaseGS  phnYEC  1.2.1.-TP  TIGRFAMsCC  This family of genes are members of the PF00171 NAD-dependent aldehyde dehydrogenase family.\rCC  These genes are observed in Ralstonia eutropha JMP134, Sinorhizobium meliloti 1021, Burkholderia mallei ATCC 23344, Burkholderia thailandensis E264, Burkholderia cenocepacia 
TIGR02171	Fibrobacter succinogenes paralogous family TIGR02171
TIGR00671	pantothenate kinase, type III
TIGR00615	recombination protein RecR
