Cid	A	B	C	D	E	NAME	FORMULA	EXACT_MASS	MOL_WEIGHT	REMARK	PubChem	ChEBI	ChEMBL	PDB.CCD	LIPIDMAPS	LipidBank	SEQUENCE
C14695	Carcinogens	Group 2B: Possibly carcinogenic to humans	Compounds	C14695  Nitrilotriacetic acid		Nitrilotriacetic acid;///Triglycollamic acid;///Nitrilotriacetate	C6H9NO6	191.043	191.1388		17395694	44557	CHEMBL1234848	NTA			
C14701	Pesticides	Pesticides	Herbicides	Bipyridinium herbicides		Paraquat;///1,1'-Dimethyl-4,4'-bipyridinium	C12H14N2	186.1157	186.253		17395700	34905	CHEMBL74469				
C14704	Carcinogens	Group 2A: Probably carcinogenic to humans	Compounds	C14704  N-Nitrosodimethylamine		N-Nitrosodimethylamine;///Dimethylnitrosamine	C2H6N2O	74.048	74.0818		17395703	35807	CHEMBL117311				
C14705	Carcinogens	Group 2B: Possibly carcinogenic to humans	Compounds	C14705  1,1,1,2-Tetrachloroethane		1,1,1,2-Tetrachloroethane	C2H2Cl4	165.8911	167.8493		17395704	34024	CHEMBL155816				
C14706	Carcinogens	Group 2A: Probably carcinogenic to humans	Compounds	C14706  Diethyl sulfate		Diethyl sulfate;///DES	C4H10O4S	154.03	154.1848		17395705	34699	CHEMBL163100				
C14708	Carcinogens	Group 2B: Possibly carcinogenic to humans	Compounds	C14708  Bromodichloromethane		Bromodichloromethane	CHBrCl2	161.8639	163.8286		17395707	34591	CHEMBL346231				
C14717	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0301 Prostaglandins		15-Deoxy-Delta12,14-PGJ2;///15-Deoxy-Delta12,14-prostaglandin J2;///15-Deoxy-PGJ2	C20H28O3	316.2038	316.4345		17395716	34159	CHEMBL482477				
C14723	Lipids	PK  Polyketides	PK05 Ansamycins and related polyketides	C14723  Rifamycin Z		Rifamycin Z	C35H41NO11	651.268	651.7001		17395722	34950					
C14732	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		5-OxoETE;///(6E,8Z,11Z,14Z)-5-Oxoicosa-6,8,11,14-tetraenoic acid;///5-Oxoeicosatetraenoic acid;///5-Oxoicosatetraenoic acid	C20H30O3	318.2195	318.4504		17395731	52449	CHEMBL18028				
C14739	Lipids	PK  Polyketides	PK13 Aromatic polyketides	PK1309 Diphenyl ethers, biphenyls, dibenzyls and stilbenes		alpha,alpha'-Diethyl-3,4,3',4'-stilbenetetraol;///3,4,3',4'-Tetrahydroxy-alpha,alpha'-diethylstilbene	C18H20O4	300.1362	300.349		17395737	138867	CHEMBL73796				
C14740	Lipids	PK  Polyketides	PK13 Aromatic polyketides	PK1309 Diphenyl ethers, biphenyls, dibenzyls and stilbenes		alpha,alpha'-Diethyl-3,4,4'-stilbenetriol;///3,4,4'-Trihydroxy-alpha,alpha'-diethylstilbene;///(E)-4-[1-Ethyl-2-(4-hydroxyphenyl)-1-butenyl]-1,2-benzenediol	C18H20O3	284.1412	284.3496		17395738	35055	CHEMBL72732				
C14744	Pesticides	Pesticides	Herbicides	Benzoic acid herbicides		Dacthal;///Chlorthal-dimethyl;///Dimethyl 2,3,5,6-tetrachloroterephthalate	C10H6Cl4O4	329.902	331.9642		17395742	34664	CHEMBL1888079				
C14746	Pesticides	Obsolete pesticides	Insecticides	Others		Chlordimeform;///Chlorphenamidine;///N'-(4-Chloro-2-methylphenyl)-N,N-dimethylformamidine	C10H13ClN2	196.0767	196.6766		17395744	34629	CHEMBL2288609				
C14748	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		20-HETE;///(5Z,8Z,11Z,14Z)-20-Hydroxyicosa-5,8,11,14-tetraenoic acid;///20-Hydroxyeicosatetraenoic acid;///20-Hydroxyicosatetraenoic acid;///20-Hydroxy arachidonic acid	C20H32O3	320.2351	320.4663		17395746	34306	CHEMBL4085458				
C14749	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		19(S)-HETE;///(19S)-Hydroxyeicosatetraenoic acid;///(19S)-Hydroxyicosatetraenoic acid;///(19S)-Hydroxy arachidonic acid	C20H32O3	320.2351	320.4663		17395747	34185					
C14750	Natural toxins	Fungal toxins	Mycotoxins	Others		alpha-Zearalenol;///trans-Zearalenol	C18H24O5	320.1624	320.3802		17395748	35065	CHEMBL371463	36J			
C14751	Natural toxins	Fungal toxins	Mycotoxins	Others		beta-Zearalenol;///beta-trans-Zearalenol	C18H24O5	320.1624	320.3802		17395749	35072	CHEMBL372840	ZHB			
C14752	Natural toxins	Fungal toxins	Mycotoxins	Others		alpha-Zearalanol;///Zeranol	C18H26O5	322.178	322.396	Same as: D06362	17395750	35064	CHEMBL450613	27J			
C14759	Carcinogens	Group 2B: Possibly carcinogenic to humans	Compounds	C14759  4,4'-Diaminodiphenyl ether		4,4'-Diaminodiphenyl ether;///4-Aminophenyl ether;///4,4'-Oxybisbenzenamine;///4,4'-Oxydianiline	C12H12N2O	200.095	200.2365		17395757	34384	CHEMBL354663				
C14762	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		13(S)-HODE;///(13S)-Hydroxyoctadecadienoic acid;///(9Z,11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid	C18H32O3	296.2351	296.4449		17395760	34154	CHEMBL451721	243			
C14763	Lipids	PK  Polyketides	PK13 Aromatic polyketides	PK1309 Diphenyl ethers, biphenyls, dibenzyls and stilbenes		trans-4-Hydroxystilbene;///(E)-4-Stilbenol	C14H12O	196.0888	196.2445		17395761	35101	CHEMBL195624				
C14765	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		13-OxoODE;///13-KODE;///(9Z,11E)-13-Oxooctadeca-9,11-dienoic acid	C18H30O3	294.2195	294.429		17395763	68947	CHEMBL1378466				
C14766	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9-OxoODE;///9-KODE;///(10E,12Z)-9-Oxooctadeca-10,12-dienoic acid	C18H30O3	294.2195	294.429		17395764	72842					
C14767	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9(S)-HODE;///(9S)-Hydroxyoctadecadienoic acid;///(10E,12Z)-(9S)-9-Hydroxyoctadeca-10,12-dienoic acid	C18H32O3	296.2351	296.4449		17395765	34496	CHEMBL1230670	9HO			
C14768	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		5,6-EET;///(8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid;///(8Z,11Z,14Z)-5,6-Epoxyicosa-8,11,14-trienoic acid	C20H32O3	320.2351	320.4663		17395766	34450	CHEMBL1893588				
C14769	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		8,9-EET;///(5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid;///(5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid	C20H32O3	320.2351	320.4663		17395767	34490	CHEMBL1437769				
C14770	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		11,12-EET;///(5Z,8Z,14Z)-11,12-Epoxyeicosa-5,8,14-trienoic acid;///(5Z,8Z,14Z)-11,12-Epoxyicosa-5,8,14-trienoic acid	C20H32O3	320.2351	320.4663		17395768	34130	CHEMBL128339				
C14771	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		14,15-EET;///(5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid;///(5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid	C20H32O3	320.2351	320.4663		17395769	34157	CHEMBL269319				
C14772	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		5,6-DHET;///(8Z,11Z,14Z)-5,6-Dihydroxyeicosa-8,11,14-trienoic acid;///(8Z,11Z,14Z)-5,6-Dihydroxyicosa-8,11,14-trienoic acid	C20H34O4	338.2457	338.4816		17395770	63974					
C14773	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		8,9-DHET;///(5Z,11Z,14Z)-8,9-Dihydroxyeicosa-5,11,14-trienoic acid;///(5Z,11Z,14Z)-8,9-Dihydroxyicosa-5,11,14-trienoic acid	C20H34O4	338.2457	338.4816		17395771	63970					
C14774	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		11,12-DHET;///(5Z,8Z,14Z)-11,12-Dihydroxyeicosa-5,8,14-trienoic acid;///(5Z,8Z,14Z)-11,12-Dihydroxyicosa-5,8,14-trienoic acid	C20H34O4	338.2457	338.4816		17395772	63969					
C14775	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		14,15-DHET;///(5Z,8Z,11Z)-14,15-Dihydroxyeicosa-5,8,11-trienoic acid;///(5Z,8Z,11Z)-14,15-Dihydroxyicosa-5,8,11-trienoic acid	C20H34O4	338.2457	338.4816		17395773	63966	CHEMBL7514				
C14776	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		8(S)-HETE;///(5Z,9E,11Z,14Z)-(8S)-8-Hydroxyeicosa-5,9,11,14-tetraenoic acid;///(5Z,9E,11Z,14Z)-(8S)-8-Hydroxyicosa-5,9,11,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395774	34486					
C14777	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		12(S)-HETE;///(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyeicosa-5,8,10,14-tetraenoic acid;///(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyicosa-5,8,10,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395775	34146	CHEMBL1526258				
C14777	Target-based Classification of Compounds	G Protein-coupled receptors	Rhodopsin family: other receptors	Leukotriene B4 receptor		12(S)-HETE;///(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyeicosa-5,8,10,14-tetraenoic acid;///(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyicosa-5,8,10,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395775	34146	CHEMBL1526258				
C14777	Target-based Classification of Compounds	G Protein-coupled receptors	Rhodopsin family: other receptors	Leukotriene B4 receptor		12(S)-HETE;///(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyeicosa-5,8,10,14-tetraenoic acid;///(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyicosa-5,8,10,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395775	34146	CHEMBL1526258				
C14778	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		16(R)-HETE;///(5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyeicosa-5,8,11,14-tetraenoic acid;///(5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyicosa-5,8,11,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395776	34162					
C14779	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		9(S)-HETE;///(5Z,7E,11Z,14Z)-(9S)-9-Hydroxyeicosa-5,7,11,14-tetraenoic acid;///(5Z,7E,11Z,14Z)-(9S)-9-Hydroxyicosa-5,7,11,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395777	34495					
C14780	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		11(R)-HETE;///(5Z,8Z,12E,14Z)-(11R)-Hydroxyeicosa-5,8,12,14-tetraenoic acid;///(5Z,8Z,12E,14Z)-(11R)-Hydroxyicosa-5,8,12,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395778	34126					
C14781	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0308 Epoxyeicosatrienoic acids		15H-11,12-EETA;///15-Hydroxy-11,12-epoxyeicosatrienoic acid;///(5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyeicosa-5,8,13-trienoic acid;///(5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyicosa-5,8,13-trienoic acid	C20H32O4	336.2301	336.4657		17395779	34160					
C14782	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		11,12,15-THETA;///11,12,15-Trihydroxyicosatrienoic acid;///(5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyeicosa-5,8,12-trienoic acid;///(5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyicosa-5,8,12-trienoic acid	C20H34O5	354.2406	354.481		17395780	34128					
C14794	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0301 Prostaglandins		2,3-Dinor-8-iso prostaglandin F2alpha;///2,3-Dinor-8-iso PGF2alpha	C18H30O5	326.2093	326.4278		17395792	34230					
C14794	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0311 Isoprostanes		2,3-Dinor-8-iso prostaglandin F2alpha;///2,3-Dinor-8-iso PGF2alpha	C18H30O5	326.2093	326.4278		17395792	34230					
C14795	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0301 Prostaglandins		2,3-Dinor-8-iso prostaglandin F1alpha;///2,3-Dinor-8-iso PGF1alpha	C18H32O5	328.225	328.4437		17395793	34229					
C14807	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		12-OxoETE;///12-KETE;///(5Z,8Z,10E,14Z)-12-Oxoeicosa-5,8,10,14-tetraenoic acid;///(5Z,8Z,10E,14Z)-12-Oxoicosa-5,8,10,14-tetraenoic acid	C20H30O3	318.2195	318.4504		17395805	34151	CHEMBL3310737				
C14808	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0309 Hepoxilins		Hepoxilin A3;///(5Z,9E,14Z)-(11S,12S)-11,12-Epoxy-8-hydroxyeicosa-5,9,14-trienoic acid;///(5Z,9E,14Z)-(11S,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid	C20H32O4	336.2301	336.4657		17395806	36190					
C14809	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0309 Hepoxilins		Trioxilin A3;///(5Z,9E,14Z)-(11R,12S)-8,11,12-Trihydroxyeicosa-5,9,14-trienoic acid;///(5Z,9E,14Z)-(11R,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoic acid	C20H34O5	354.2406	354.481		17395807	36203					
C14810	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0309 Hepoxilins		Hepoxilin B3;///(5Z,8Z,14Z)-(11S,12S)-11,12-Epoxy-10-hydroxyeicosa-5,8,14-trienoic acid;///(5Z,8Z,14Z)-(11S,12S)-11,12-Epoxy-10-hydroxyicosa-5,8,14-trienoic acid	C20H32O4	336.2301	336.4657		17395808	34784					
C14811	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0309 Hepoxilins		Trioxilin B3;///(5Z,8Z,14Z)-(11R,12R)-10,11,12-Trihydroxyeicosa-5,8,14-trienoic acid;///(5Z,8Z,14Z)-(11R,12R)-10,11,12-Trihydroxyicosa-5,8,14-trienoic acid	C20H34O5	354.2406	354.481		17395809	35032					
C14812	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		12(R)-HPETE;///(5Z,8Z,10E,14Z)-(12R)-12-Hydroperoxyeicosa-5,8,10,14-tetraenoic acid;///(5Z,8Z,10E,14Z)-(12R)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid	C20H32O4	336.2301	336.4657		17395810	34145					
C14813	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0308 Epoxyeicosatrienoic acids		11H-14,15-EETA;///11-Hydroxy-14,15-EETA;///11-Hydroxy-14,15-epoxyeicosatrienoic acid;///(5Z,8Z,12E)-14,15-Epoxy-11-hydroxyeicosa-5,8,12-trienoic acid;///(5Z,8Z,12E)-14,15-Epoxy-11-hydroxyicosa-5,8,12-trienoic acid	C20H32O4	336.2301	336.4657		17395811	34137					
C14814	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0305 Hydroxy/hydroperoxyeicosatrienoic acids		11,14,15-THETA;///11,14,15-Trihydroxyicosatrienoic acid;///(5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid;///(5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	C20H34O5	354.2406	354.481		17395812	34131					
C14815	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		5,6-Epoxytetraene;///(7E,9E,11Z,13E)-(5S,6S,15S)-5,6-Epoxy-15-hydroxyeicosa-7,9,11,13-tetraenoic acid;///(7E,9E,11Z,13E)-(5S,6S,15S)-5,6-Epoxy-15-hydroxyicosa-7,9,11,13-tetraenoic acid	C20H30O4	334.2144	334.4498		17395813	64095					
C14820	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		11(R)-HPETE;///(5Z,8Z,12E,14Z)-(11R)-Hydroperoxyeicosa-5,8,12,14-tetraenoic acid;///(5Z,8Z,12E,14Z)-(11R)-Hydroperoxyicosa-5,8,12,14-tetraenoic acid	C20H32O4	336.2301	336.4657		17395818	34127					
C14821	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		9(S)-HPETE;///(5Z,7E,11Z,14Z)-(9S)-9-Hydroperoxyeicosa-5,7,11,14-tetraenoic acid;///(5Z,7E,11Z,14Z)-(9S)-9-Hydroperoxyicosa-5,7,11,14-tetraenoic acid	C20H32O4	336.2301	336.4657		17395819	34497					
C14822	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		12(R)-HETE;///(5Z,8Z,10E,14Z)-(12R)-12-Hydroxyeicosa-5,8,10,14-tetraenoic acid;///(5Z,8Z,10E,14Z)-(12R)-12-Hydroxyicosa-5,8,10,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395820	34144	CHEMBL1435825				
C14823	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		8(S)-HPETE;///(5Z,9E,11Z,14Z)-(8S)-8-Hydroperoxyeicosa-5,9,11,14-tetraenoic acid;///(5Z,9E,11Z,14Z)-(8S)-8-Hydroperoxyicosa-5,9,11,14-tetraenoic acid	C20H32O4	336.2301	336.4657		17395821	34487					
C14824	Lipids	FA  Fatty acyls	FA03 Eicosanoids	FA0306 Hydroxy/hydroperoxyeicosatetraenoic acids		8(R)-HETE;///(5Z,9E,11Z,14Z)-(8R)-8-Hydroxyeicosa-5,9,11,14-tetraenoate;///(5Z,9E,11Z,14Z)-(8R)-8-Hydroxyicosa-5,9,11,14-tetraenoate;///(5Z,9E,11Z,14Z)-(8R)-8-Hydroxyeicosa-5,9,11,14-tetraenoic acid;///(5Z,9E,11Z,14Z)-(8R)-8-Hydroxyicosa-5,9,11,14-tetraenoic acid	C20H32O3	320.2351	320.4663		17395822	34484					
C14825	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9(10)-EpOME;///(9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid	C18H32O3	296.2351	296.4449		17395823	86022					
C14826	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		12(13)-EpOME;///(12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid	C18H32O3	296.2351	296.4449		17395824	38300		T25			
C14827	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9(S)-HPODE;///9(S)-HPOD;///(10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid;///(9S,10E,12Z)-9-Hydroperoxy-10,12-octadecadienoate	C18H32O4	312.2301	312.4443		17395825	34498	CHEMBL1594141				
C14828	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0105 Hydroxy fatty acids		9,10-DHOME;///9,10-DHOA;///(12Z)-9,10-Dihydroxyoctadec-12-enoic acid	C18H34O4	314.2457	314.4602		17395826	72663					
C14829	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0105 Hydroxy fatty acids		12,13-DHOME;///12,13-DHOA;///(9Z)-12,13-Dihydroxyoctadec-9-enoic acid	C18H34O4	314.2457	314.4602		17395827	72665					
C14831	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		8(R)-HPODE;///(9Z,12Z)-(8R)-8-Hydroperoxyoctadeca-9,12-dienoic acid;///(8R,9Z,12Z)-8-Hydroperoxyoctadeca-9,12-dienoate	C18H32O4	312.2301	312.4443		17395829	34485					
C14832	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		12,13-Epoxy-9-hydroxy-10-octadecenoate;///12(R),13(S)-Epoxy-9(S)-hydroxy-10(E)-octadecenoic acid;///(10E)-(9S,12R,13S)-12,13-Epoxy-9-hydroxyoctadec-10-enoic acid	C18H32O4	312.2301	312.4443		17395830	34148					
C14833	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9,12,13-TriHOME;///9(S),12(S),13(S)-Trihydroxy-10(E)-octadecenoic acid;///(10E)-(9S,12S,13S)-9,12,13-Trihydroxyoctadec-10-enoic acid	C18H34O5	330.2406	330.4596		17395831	34506					
C14834	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9,10-Epoxy-13-hydroxy-11-octadecenoate;///(11E)-9,10-Epoxyoctadecenoic acid	C18H32O4	312.2301	312.4443		17395832	34504					
C14835	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9,10,13-TriHOME;///9,10,13-Trihydroxyoctadec-11-enoic acid;///(11E)-9,10,13-Trihydroxyoctadec-11-enoic acid	C18H34O5	330.2406	330.4596		17395833	34499					
C14836	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9,10-12,13-Diepoxyoctadecanoate;///9,10-12,13-Diepoxyoctadecanoic acid	C18H32O4	312.2301	312.4443		17395834	34500					
C14837	Lipids	FA  Fatty acyls	FA02 Octadecanoids	FA0200 Other Octadecanoids		9,10-Dihydroxy-12,13-epoxyoctadecanoate;///9,10-Dihydroxy-12,13-epoxyoctadecanoic acid	C18H34O5	330.2406	330.4596		17395835	34503					
C14866	Carcinogens	Group 2A: Probably carcinogenic to humans	Compounds	C14866  Chloral		Chloral;///Trichloroacetaldehyde	C2HCl3O	145.9093	147.3877		17395864	48814	CHEMBL27551	CLX			
C14942	Phytochemical Compounds	Flavonoids	Flavonoids	Flavones		2-(2,4,5-Trimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	C22H24O9	432.142	432.4206		17395940	79466	CHEMBL521296				
C14953	Phytochemical Compounds	Flavonoids	Flavonoids	Flavones		2-(3,4,5-Trimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	C22H24O9	432.142	432.4206		17395951	79477	CHEMBL310982				
C14985	Phytochemical Compounds	Flavonoids	Flavonoids	Flavones		6-Hydroxy-2-(4-methoxyphenyl)-5,7-dimethoxy-4H-1-benzopyran-4-one;///6-Hydroxy-4',5,7-trimethoxyflavone	C18H16O6	328.0947	328.316		17395983	79509	CHEMBL77695				
C14987	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0114 Carbocyclic fatty acids		2,3-Dihydroxycyclopentaneundecanoic acid	C16H30O4	286.2144	286.407		17395985	79511	CHEMBL1886938				
C14993	Endocrine Disrupting Compounds	Plasticizers and plastics	Alkylphenols	C14993  Nonylphenol		Nonylphenol					17395990	79516					
C15019	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		2,3-Dihydro-2-(4-hydroxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one;///4'-Hydroxy-5,6,7-trimethoxyflavanone	C18H18O6	330.1103	330.3319		17396016	79542	CHEMBL485055				
C15066	Lipids	PK  Polyketides	PK13 Aromatic polyketides	PK1309 Diphenyl ethers, biphenyls, dibenzyls and stilbenes		alpha,alpha'-Diethyl-4,4'-bis(2-propynyloxy)stilbene	C24H24O2	344.1776	344.4462		17396063	79586					
C15109	Lipids	PK  Polyketides	PK12 Flavonoids	PK1211 Flavones and Flavonols		Gardenin B;///5-Hydroxy-2-(4-methoxyphenyl)-6,7,8-trimethoxy-4H-1-benzopyran-4-one;///5-Hydroxy-4',6,7,8-tetramethoxyflavone;///Demethyltangeretin	C19H18O7	358.1053	358.342		17396106	79628	CHEMBL226512				
C15109	Phytochemical Compounds	Flavonoids	Flavonoids	Flavones		Gardenin B;///5-Hydroxy-2-(4-methoxyphenyl)-6,7,8-trimethoxy-4H-1-benzopyran-4-one;///5-Hydroxy-4',6,7,8-tetramethoxyflavone;///Demethyltangeretin	C19H18O7	358.1053	358.342		17396106	79628	CHEMBL226512				
C15118	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		2,3-Dihydro-2-(4-methoxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one;///4',5,6,7-Tetramethoxyflavanone	C19H20O6	344.126	344.3585		17396115	79637	CHEMBL520193				
C15131	Lipids	PK  Polyketides	PK13 Aromatic polyketides	PK1309 Diphenyl ethers, biphenyls, dibenzyls and stilbenes		2,5-Dimethoxystilbene;///1,4-Dimethoxy-2-(2-phenylethenyl)benzene	C16H16O2	240.115	240.297		17396128	79649	CHEMBL1887302				
C15214	Endocrine Disrupting Compounds	Pesticides and herbicides	Organochlorine pesticides	C15214  alpha-Hexachlorocyclohexane		alpha-Hexachlorocyclohexane;///alpha-HCH;///1alpha,2alpha,3beta,4alpha,5beta,6beta-Hexachlorocyclohexane;///alpha-Lindane	C6H6Cl6	287.8601	290.8298		17396211	39096	CHEMBL2272381				
C15225	Endocrine Disrupting Compounds	Pesticides and herbicides	Dithiocarbamate pesticides	C15225  Mancozeb		Manzeb;///Mancozeb					17396222	52492					
C15225	Pesticides	Pesticides	Fungicides	Dithiocarbamate fungicides		Manzeb;///Mancozeb					17396222	52492					
C15229	Endocrine Disrupting Compounds	Pesticides and herbicides	Dithiocarbamate pesticides	C15229  Ziram		Ziram	(C3H6NS2)2. Zn	303.9175	305.8419		17396226	79736	CHEMBL1519327				
C15229	Pesticides	Pesticides	Fungicides	Dithiocarbamate fungicides		Ziram	(C3H6NS2)2. Zn	303.9175	305.8419		17396226	79736	CHEMBL1519327				
C15230	Pesticides	Pesticides	Fungicides	Organophosphorus fungicides		Iprobenfos;///IBP;///Kitazin P;///S-Benzyl O,O-diisopropyl phosphorothioate	C13H21O3PS	288.0949	288.3428		17396227	79737	CHEMBL388384				
C15231	Endocrine Disrupting Compounds	Pesticides and herbicides	Dithiocarbamate pesticides	C15231  Maneb		Maneb	(C4H6MnN2S4)n				17396228	52497					
C15231	Pesticides	Pesticides	Fungicides	Dithiocarbamate fungicides		Maneb	(C4H6MnN2S4)n				17396228	52497					
