	Type	Common-Name
PWY-6045	Methylthiopropionate-Degradation	methylthiopropanonate degradation II (demethylation)
PWY-7864	Quinone-Biosynthesis	8-methylmenaquinone biosynthesis
P21-PWY	Pentose-Phosphate-Cycle	pentose phosphate pathway (partial)
PWY-7781	Quinone-Biosynthesis	&omega;-sulfo-II-dihydromenaquinone-9 biosynthesis
PWY-7374	14-Dihydroxy-6-Naphthoate-Biosynthesis	1,4-dihydroxy-6-naphthoate biosynthesis I
PWY-7371	14-Dihydroxy-6-Naphthoate-Biosynthesis	1,4-dihydroxy-6-naphthoate biosynthesis II
OXIDATIVEPENT-PWY	Pentose-Phosphate-Cycle	pentose phosphate pathway (oxidative branch) I
PWY-7796	Pentose-Phosphate-Cycle	pentose phosphate pathway (oxidative branch) II
PWY-6523	Methane-Oxidation	nitrite-dependent anaerobic methane oxidation
PWY-7181	Pyrimidine-Deoxyribonucleosides-Deg	pyrimidine deoxyribonucleosides degradation
DESULFONATION-PWY	Sulfoaromatics-Degradation	benzenesulfonate degradation
PWY-7521	Sulfoaromatics-Degradation	3-(4-sulfophenyl)butanoate degradation
PWY-6041	Sulfoaromatics-Degradation	4-sulfocatechol degradation
PWY-5165	4-Toluenesulfonate-Degradation	4-toluenesulfonate degradation II
TOLSULFDEG-PWY	4-Toluenesulfonate-Degradation	4-toluenesulfonate degradation I
PWY0-541	Cyclopropane-fatty-acid-biosyn	cyclopropane fatty acid (CFA) biosynthesis
PWY-6686	Mannosylglucosylglycerate-Biosynthesis	mannosylglucosylglycerate biosynthesis I
PWY-6687	Mannosylglucosylglycerate-Biosynthesis	mannosylglucosylglycerate biosynthesis II
PWY-7198	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV
PWY-5641	Nitro-Toluene-Degradation	2-nitrotoluene degradation
PWY-7802	Protein-Modification	N-end rule pathway II (prokaryotic)
PWY-5644	4-Nitrotoluene-Degradation	4-nitrotoluene degradation II
P421-PWY	4-Nitrotoluene-Degradation	4-nitrotoluene degradation I
PWY-7197	Pyrimidine-Nucleotide-Salvage	pyrimidine deoxyribonucleotide phosphorylation
PWY0-1295	Pyrimidine-Ribonucleosides-Degradation	pyrimidine ribonucleosides degradation
PWY-7210	Pyrimidine-Nucleotide-Salvage	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7209	Super-Pathways	superpathway of pyrimidine ribonucleosides degradation
PWY-7801	Protein-Modification	N-end rule pathway I (prokaryotic)
PWY-7184	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-6545	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
PWY-7206	Pyrimidine-Deoxyribonucleosides-Deg	pyrimidine deoxyribonucleotides dephosphorylation
P641-PWY	Mercury-Detoxification	phenylmercury acetate degradation
PWY-2301	Cyclitols-Biosynthesis	<i>myo</i>-inositol biosynthesis
PWY-7593	Linoleate-Biosynthesis	linoleate biosynthesis III (cyanobacteria)
PWY-2941	LYSINE-SYN	L-lysine biosynthesis II
PWY-5097	LYSINE-SYN	L-lysine biosynthesis VI
PWY-3081	LYSINE-SYN	L-lysine biosynthesis V
DAPLYSINESYN-PWY	LYSINE-SYN	L-lysine biosynthesis I
PWY-2942	LYSINE-SYN	L-lysine biosynthesis III
ECASYN-PWY	Super-Pathways	enterobacterial common antigen biosynthesis
KDOSYN-PWY	KDO-Lipid-IV-Transfer	Kdo transfer to lipid IV<sub>A</sub> I
PWY-7676	KDO-Lipid-IV-Transfer	Kdo8N transfer to lipid IV<sub>A</sub>
PWY-7675	KDO-Lipid-IV-Transfer	Kdo transfer to lipid IV<sub>A</sub> II
PWY-6467	Super-Pathways	Kdo transfer to lipid IV<SUB>A</SUB> III (Chlamydia)
PWY-7513	POLYKETIDE-SYN	flaviolin dimer and mompain biosynthesis
PWY-7880	POLYKETIDE-SYN	coelimycin P1 biosynthesis
PWY-6627	POLYKETIDE-SYN	salinosporamide A biosynthesis
PWY-8025	Cyanurate-Degradation	cyanuric acid degradation I
PWY-6268	Cobamide-Salvage	adenosylcobalamin salvage from cobalamin
COBALSYN-PWY	Super-Pathways	superpathway of adenosylcobalamin salvage from cobinamide I
PWY-7972	B12-Salvage-From-Cobinamide	adenosylcobinamideGDP salvage from cobinamide II
PWY-7971	B12-Salvage-From-Cobinamide	adenosylcobinamide-GDP salvage from cobinamide I
PWY-6269	Super-Pathways	superpathway of adenosylcobalamin salvage from cobinamide II
PWY-5169	Cyanurate-Degradation	cyanuric acid degradation II
PWY-6192	Dichlorotoluene-Degradation	3,4-dichlorotoluene degradation
PWY-6191	Dichlorotoluene-Degradation	2,5-dichlorotoluene degradation
PWY-6190	Dichlorotoluene-Degradation	2,4-dichlorotoluene degradation
PWY-5950	SESQUITERPENOID-SYN	geosmin biosynthesis
6-HYDROXYCINEOLE-DEGRADATION-PWY	TERPENOID-DEG	1,8-cineole degradation
PWY-6672	TERPENOID-DEG	<i>cis</i>-genanyl-CoA degradation
BGALACT-PWY	LACTOSE-DEG	lactose degradation III
PWY-7136	TERPENOID-DEG	&beta; myrcene degradation
LACTOSEUTIL-PWY	LACTOSE-DEG	lactose degradation II
PWY-6670	TERPENOID-DEG	citronellol degradation
PWY-6806	TERPENOID-DEG	carotenoid cleavage
PWY-6591	Manganese-Oxidation	manganese oxidation I
PWY-6592	Manganese-Oxidation	manganese oxidation II
PWY-7022	Paromamine-Biosynthesis	paromamine biosynthesis II
PWY-4741	Creatinine-Degradation	creatinine degradation III
PWY-4722	Creatinine-Degradation	creatinine degradation II
PWY-7014	Paromamine-Biosynthesis	paromamine biosynthesis I
CRNFORCAT-PWY	Creatinine-Degradation	creatinine degradation I
PWY-5265	Super-Pathways	peptidoglycan biosynthesis II (staphylococci)
PWY-5755	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis II (bacteria)
PEPTIDOGLYCANSYN-PWY	Super-Pathways	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
PWY-6385	Super-Pathways	peptidoglycan biosynthesis III (mycobacteria)
PWY0-1586	Peptidoglycan-Biosynthesis	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
PWY-7003	Super-Pathways	glycerol degradation to butanol
PWY-7396	Alcohol-Biosynthesis	butanol and isobutanol biosynthesis (engineered)
PWY-7248	Pectin-Degradation	pectin degradation II
PWY-6583	Pyruvate-Butanol-Fermentation	pyruvate fermentation to butanol I
PWY-6886	Super-Pathways	1-butanol autotrophic biosynthesis (engineered)
PWY-7385	Alcohol-Biosynthesis	1,3-propanediol biosynthesis (engineered)
PWY-6130	GLYCEROL-DEG	glycerol degradation III
PWY-6883	Pyruvate-Butanol-Fermentation	pyruvate fermentation to butanol II (engineered)
PWY-7541	Metabolic-Clusters	1,2-propanediol biosynthesis from lactate (engineered)
METHGLYUT-PWY	Super-Pathways	superpathway of methylglyoxal degradation
PWY-6011	CYANOGENIC-GLUCOSIDE-DEG	amygdalin and prunasin degradation
P164-PWY	Purine-Degradation	purine nucleobases degradation I (anaerobic)
PWY-5497	Purine-Degradation	purine nucleobases degradation II (anaerobic)
PWY-7401	Super-Pathways	crotonate fermentation (to acetate and cyclohexane carboxylate)
PWY-7402	Super-Pathways	benzoate fermentation (to acetate and cyclohexane carboxylate)
FERMENTATION-PWY	Pyruvate-Ethanol-Fermentation	mixed acid fermentation
4AMINOBUTMETAB-PWY	Super-Pathways	superpathway of 4-aminobutanoate degradation
PWY-804	Fermentation-to-Acids	glycolate degradation II
PWY-6537	4-Aminobutyraye-Degradation	4-aminobutanoate degradation II
P162-PWY	GLUTAMATE-DEG	L-glutamate degradation V (via hydroxyglutarate)
PROPFERM-PWY	Super-Pathways	L-alanine fermentation to propanoate and acetate
PWY-6536	4-Aminobutyraye-Degradation	4-aminobutanoate degradation III
PWY0-1312	Acetate-Formation	acetate and ATP formation from acetyl-CoA I
PWY-6535	4-Aminobutyraye-Degradation	4-aminobutanoate degradation I
P161-PWY	Pyruvate-Ethanol-Fermentation	acetylene degradation
P461-PWY	Super-Pathways	hexitol fermentation to lactate, formate, ethanol and acetate
P124-PWY	Sugars-And-Polysaccharides-Degradation	Bifidobacterium shunt
P163-PWY	LYSINE-DEG	L-lysine fermentation to acetate and butanoate
PWY-5535	Acetate-Formation	acetate and ATP formation from acetyl-CoA II
LCYSDEG-PWY	CYSTEINE-DEG	L-cysteine degradation II
HOMOCYSDEGR-PWY	HOMOCYSTEINE-DEG	L-cysteine biosynthesis III (from L-homocysteine)
PWY-8009	CYSTEINE-SYN	L-cysteine biosynthesis VIII (Thermococcus kodakarensis)
PWY-I9	Super-Pathways	L-cysteine biosynthesis VI (from L-methionine)
CYSTSYN-PWY	CYSTEINE-SYN	L-cysteine biosynthesis I
PWY-7870	CYSTEINE-SYN	L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)
PWY-8010	CYSTEINE-SYN	L-cysteine biosynthesis IX (Trichomonas vaginalis)
PWY-6292	Super-Pathways	superpathway of L-cysteine biosynthesis (mammalian)
PWY-7289	CYSTEINE-SYN	L-cysteine biosynthesis V (mycobacteria)
PWY-6057	Dimethylsulfide-Degradation	dimethyl sulfide degradation III (oxidation)
PWY-6047	Dimethylsulfide-Degradation	dimethyl sulfide degradation I
PWY-6059	Dimethylsulfide-Degradation	dimethyl sulfide degradation II (oxidation)
PPGPPMET-PWY	Metabolic-Regulators	ppGpp biosynthesis
PWY-7641	Acetlylenic-Fatty-Acid-Biosynthesis	5-hexynoate biosynthesis
PWY-6664	Organic-solutes-Biosynthesis	di-myo-inositol phosphate biosynthesis
PWY-7054	Organic-solutes-Biosynthesis	<i>N</i>-acetylglutaminylglutamine amide biosynthesis
CENTFERM-PWY	Pyruvate-Degradation	pyruvate fermentation to butanoate
PWY-6594	Super-Pathways	superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation
PWY-7111	Pyruvate-Degradation	pyruvate fermentation to isobutanol (engineered)
PWY-6049	Super-Pathways	superpathway of dimethylsulfoniopropanoate degradation
PWY-6590	Super-Pathways	superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation
PWY-6046	Dimethylsulfoniopropionate-Degradation	dimethylsulfoniopropanoate degradation I (cleavage)
PWY-6863	Pyruvate-Degradation	pyruvate fermentation to hexanol (engineered)
PWY-6056	Dimethylsulfoniopropionate-Degradation	dimethylsulfoniopropanoate degradation II (cleavage)
PWY-6052	Dimethylsulfoniopropionate-Degradation	dimethylsulfoniopropanoate degradation III (demethylation)
PWY-6588	Pyruvate-Degradation	pyruvate fermentation to acetone
PWY-6604	Super-Pathways	superpathway of <i>Clostridium acetobutylicum</i> acidogenic and solventogenic fermentation
PWY-5938	Acetoin-Biosynthesis	pyruvate fermentation to (<i>R</i>)-acetoin I
PWY3O-440	Acetoin-Biosynthesis	pyruvate fermentation to acetoin III
PWY-6389	Acetoin-Biosynthesis	pyruvate fermentation to (<i>S</i>)-acetoin
PWY-5939	Acetoin-Biosynthesis	pyruvate fermentation to (<i>R</i>)-acetoin II
ACETOACETATE-DEG-PWY	Fatty-Acid-and-Lipid-Degradation	acetoacetate degradation (to acetyl CoA)
LIPAS-PWY	Fatty-Acid-and-Lipid-Degradation	triacylglycerol degradation
LIPASYN-PWY	Metabolic-Clusters	phospholipases
PWY-4261	GLYCEROL-DEG	glycerol degradation I
PWY-5026	Auxin-Biosynthesis	indole-3-acetate biosynthesis V (bacteria and fungi)
PWY-6769	Rhamnogalacturonan-Degradation	rhamnogalacturonan type I degradation I
PWY-6789	Xylan-Degradation	(1,3)-&beta;-D-xylan degradation
PWY-5025	Auxin-Biosynthesis	indole-3-acetate biosynthesis IV (bacteria)
PWY-6813	POLYSACCHARIDES-DEG	glucuronoarabinoxylan degradation
PWY-8006	POLYSACCHARIDES-DEG	plant arabinogalactan type II degradation
PWY-3161	Auxin-Biosynthesis	indole-3-acetate biosynthesis III (bacteria)
PWY-5676	Super-Pathways	acetyl-CoA fermentation to butanoate II
PWY-6655	Glycan-Biosynthesis	xanthan biosynthesis
GLUDEG-II-PWY	Super-Pathways	L-glutamate degradation VII (to butanoate)
TRPIAACAT-PWY	Auxin-Biosynthesis	indole-3-acetate biosynthesis VI (bacteria)
PWY-5022	Acetyl-CoA-Butyrate	4-aminobutanoate degradation V
PWY-5677	Acetyl-CoA-Butyrate	succinate fermentation to butanoate
PWY-1001	SECONDARY-CELL-WALL	cellulose biosynthesis
PWY-7367	Fatty-Acid-and-Lipid-Degradation	phosphatidylcholine resynthesis via glycerophosphocholine
PWY-6773	Polysaccharides-Biosynthesis	1,3-&beta;-D-glucan biosynthesis
CO2FORM-PWY	METHANOGENESIS	methanogenesis from methanol
PWY-6658	Polysaccharides-Biosynthesis	acetan biosynthesis
PWY-1881	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	formate oxidation to CO<sub>2</sub>
PWY-822	Polysaccharides-Biosynthesis	fructan biosynthesis
PWY-5533	Acetone-Degradation	acetone degradation II (to acetoacetate)
PWY-6082	Alginate-Biosynthesis	alginate biosynthesis II (bacterial)
PWY-7750	C1-COMPOUNDS	carbon monoxide oxidation to CO<sub>2</sub>
PWY-1882	Super-Pathways	superpathway of C1 compounds oxidation to CO<sub>2</sub>
PWY-1722	C1-COMPOUNDS	formate assimilation into 5,10-methylenetetrahydrofolate
PWYQT-4429	CO2-Fixation	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWY-7854	CO2-Fixation	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
PWY-5493	CO2-Fixation	reductive monocarboxylic acid cycle
PWY-5789	Autotrophic-CO2-Fixation	3-hydroxypropanoate/4-hydroxybutanate cycle
CODH-PWY	Autotrophic-CO2-Fixation	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)
PWY-7024	Super-Pathways	superpathway of the 3-hydroxypropanoate cycle
PWY-5743	Autotrophic-CO2-Fixation	3-hydroxypropanoate cycle
PWY-7784	Autotrophic-CO2-Fixation	reductive acetyl coenzyme A pathway II (autotrophic methanogens)
PWY-5151	TYROSINE-DEG	L-tyrosine degradation II
TYRFUMCAT-PWY	TYROSINE-DEG	L-tyrosine degradation I
PWY-7514	TYROSINE-DEG	L-tyrosine degradation IV (to 4-methylphenol)
PWY-6989	Camphor-Degradation	(-)-camphor degradation
PWY-8016	TYROSINE-DEG	L-tyrosine degradation V (Stickland reaction)
P601-PWY	Camphor-Degradation	(+)-camphor degradation
TRPCAT-PWY	TRYPTOPHAN-DEG	L-tryptophan degradation I (via anthranilate)
PWY-5651	TRYPTOPHAN-DEG	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-3162	TRYPTOPHAN-DEG	L-tryptophan degradation V (side chain pathway)
TRPKYNCAT-PWY	TRYPTOPHAN-DEG	L-tryptophan degradation IV (via indole-3-lactate)
TRYPDEG-PWY	TRYPTOPHAN-DEG	L-tryptophan degradation II (via pyruvate)
PWY-6896	Thiamin-Salvage	thiamine salvage I
PWY-6153	Autoinducer-Biosynthesis	autoinducer AI-2 biosynthesis I
PWY-7621	Autoinducer-Biosynthesis	autoinducer CAI-1 biosynthesis
PWY-6899	Thiamin-Salvage	base-degraded thiamine salvage
PWY-6157	Autoinducer-Biosynthesis	autoinducer AI-1 biosynthesis
PWY-6154	Autoinducer-Biosynthesis	autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)
PWY-6898	Thiamin-Salvage	thiamine salvage III
PWY-7356	Thiamin-Salvage	thiamine salvage IV (yeast)
PWY-6910	Thiamin-Salvage	hydroxymethylpyrimidine salvage
PHENYLALANINE-DEG1-PWY	PHENYLALANINE-DEG	L-phenylalanine degradation I (aerobic)
ANAPHENOXI-PWY	PHENYLALANINE-DEG	L-phenylalanine degradation II (anaerobic)
PWY-1263	Taurine-degradation	taurine degradation I
PWY-7032	Alkanes-Biosynthesis	alkane biosynthesis I
PWY-6622	Alkanes-Biosynthesis	heptadecane biosynthesis
PWY0-981	Taurine-degradation	taurine degradation IV
PWY-1264	Taurine-degradation	taurine degradation II
PWY-8014	PHENYLALANINE-DEG	L-phenylalanine degradation VI (Stickland reaction)
TAURINEDEG-PWY	Taurine-degradation	taurine degradation III
PWY-1164	Carbon-disulfide-degradation	carbon disulfide oxidation I (anaerobic)
PWY-5336	Carbon-disulfide-degradation	carbon disulfide oxidation II (aerobic)
PWY-6028	Carbohydrates-Degradation	acetoin degradation
PWY-7586	Carbohydrates-Degradation	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation
PWY-7779	Carbohydrates-Degradation	methyl <i>tert</i>-butyl ether degradation
PWY-7780	Carbohydrates-Degradation	butane degradation
PWY-7777	Alkene-Degradation	isoprene degradation
PWY-7776	Alkene-Degradation	ethene and chloroethene degradation
PWY-5534	Alkene-Degradation	propene degradation
PWY-7778	Alkene-Degradation	2-methylpropene degradation
PWY-6892	Thiazole-Biosynthesis	thiazole biosynthesis I (facultative anaerobic bacteria)
PWY-6891	Thiazole-Biosynthesis	thiazole biosynthesis II (aerobic bacteria)
PWY-5372	Carbon-tetrachloride-degradation	carbon tetrachloride degradation II
PWY-5370	Carbon-tetrachloride-degradation	carbon tetrachloride degradation I
PWY-7027	Olefins-Biosynthesis	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis
PWY-7029	Alkenes-Biosynthesis	terminal olefins biosynthesis II
PWY-7026	Alkenes-Biosynthesis	terminal olefins biosynthesis I
PWY-7869	Alkenes-Biosynthesis	<i>cis</i>-alkene biosynthesis
PWY-5189	Tetrapyrrole-Biosynthesis	tetrapyrrole biosynthesis II (from glycine)
PWY-5188	Tetrapyrrole-Biosynthesis	tetrapyrrole biosynthesis I (from glutamate)
PWY-5629	Antibiotic-Biosynthesis	isopenicillin N biosynthesis
PWY-5631	Antibiotic-Biosynthesis	deacetylcephalosporin C biosynthesis
PWY-7509	Super-Pathways	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)
PWY-5633	Antibiotic-Biosynthesis	cephamycin C biosynthesis
PWY-5668	Cardiolipin-Biosynthesis	cardiolipin biosynthesis I
PWY-5634	Super-Pathways	superpathway of penicillin, cephalosporin and cephamycin biosynthesis
PWY-5679	Antibiotic-Biosynthesis	clavulanate biosynthesis
PWY0-1545	Cardiolipin-Biosynthesis	cardiolipin biosynthesis III
PWY-5737	Antibiotic-Biosynthesis	(5<i>R</i>)-carbapenem carboxylate biosynthesis
PWY-5757	Antibiotic-Biosynthesis	fosfomycin biosynthesis
PWY-5770	Antibiotic-Biosynthesis	phenazine-1-carboxylate biosynthesis
PWY-6628	Super-Pathways	superpathway of L-phenylalanine biosynthesis
PWY-5776	Antibiotic-Biosynthesis	2-hydroxyphenazine biosynthesis
PWY-7681	Dinitrotoluene-Degradation	1-chloro-2-nitrobenzene degradation
PWY-5818	Antibiotic-Biosynthesis	validamycin biosynthesis
PWY-3462	PHENYLALANINE-SYN	L-phenylalanine biosynthesis II
PWY-5887	Antibiotic-Biosynthesis	albaflavenone biosynthesis
PWY-5643	Dinitrotoluene-Degradation	2,6-dinitrotoluene degradation
PWY-5929	Antibiotic-Biosynthesis	puromycin biosynthesis
PWY-5930	Antibiotic-Biosynthesis	terpentecin biosynthesis
PHESYN	PHENYLALANINE-SYN	L-phenylalanine biosynthesis I
PWY-5940	Antibiotic-Biosynthesis	streptomycin biosynthesis
PWY-5984	Antibiotic-Biosynthesis	rifamycin B biosynthesis
PWY-5642	Dinitrotoluene-Degradation	2,4-dinitrotoluene degradation
PWY-5993	Super-Pathways	superpathway of rifamycin B biosynthesis
PWY-6003	Antibiotic-Biosynthesis	gramicidin S biosynthesis
PWY0-1546	Polymer-Degradation	muropeptide degradation
PWY-6322	Antibiotic-Biosynthesis	phosphinothricin tripeptide biosynthesis
PWY-7794	Polymer-Degradation	polyethylene terephthalate degradation
PWY-6324	Antibiotic-Biosynthesis	rebeccamycin biosynthesis
PWY-6341	Polymer-Degradation	guaiacylglycerol-&beta;-guaiacyl ether degradation
PWY-6345	Antibiotic-Biosynthesis	K-252 biosynthesis
PWY-6346	Antibiotic-Biosynthesis	staurosporine biosynthesis
PWY-6511	Antibiotic-Biosynthesis	3-methylarginine biosynthesis
PWY-6666	Antibiotic-Biosynthesis	pyocyanin biosynthesis
PWY-6679	Antibiotic-Biosynthesis	jadomycin biosynthesis
PWY-6682	Antibiotic-Biosynthesis	dehydrophos biosynthesis
PWY-6720	Antibiotic-Biosynthesis	toyocamycin biosynthesis
PWY-6721	Antibiotic-Biosynthesis	sangivamycin biosynthesis
PWY-6722	Antibiotic-Biosynthesis	candicidin biosynthesis
PWY-6915	Antibiotic-Biosynthesis	pentalenolactone biosynthesis
PWY-6919	Antibiotic-Biosynthesis	neopentalenoketolactone and pentalenate biosynthesis
PWY-6827	POLYSACCHARIDES-DEG	gellan degradation
PWY-6955	Antibiotic-Biosynthesis	lincomycin biosynthesis
PWY-7647	POLYSACCHARIDES-DEG	ulvan degradation
PWY-7000	Super-Pathways	kanamycin biosynthesis
PWY-6816	POLYSACCHARIDES-DEG	agarose degradation
PWY-7015	Antibiotic-Biosynthesis	ribostamycin biosynthesis
PWY-7456	POLYSACCHARIDES-DEG	&beta;-(1,4)-mannan degradation
PWY-7016	Antibiotic-Biosynthesis	neomycin biosynthesis
PWY-6815	POLYSACCHARIDES-DEG	porphyran degradation
PWY-7018	Antibiotic-Biosynthesis	paromomycin biosynthesis
PWY-6986	POLYSACCHARIDES-DEG	alginate degradation
PWY-7019	Antibiotic-Biosynthesis	butirosin biosynthesis
PWY-7828	POLYSACCHARIDES-DEG	cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation
PWY-7020	Super-Pathways	superpathway of butirocin biosynthesis
PWY-6822	Carrageenan-Degradation	&iota;-carrageenan degradation
PWY-7021	Super-Pathways	superpathway of neomycin biosynthesis
PWY-6821	Carrageenan-Degradation	&kappa;-carrageenan degradation
PWY-7025	Antibiotic-Biosynthesis	gentamicin biosynthesis
PWY-6817	Carrageenan-Degradation	&lambda;-carrageenan degradation
PWY-7045	Antibiotic-Biosynthesis	mithramycin biosynthesis
PWY-7274	Other-Amino-Acid-Biosynthesis	D-cycloserine biosynthesis
PWY-7287	Super-Pathways	novobiocin biosynthesis
PWY-7352	Antibiotic-Biosynthesis	daunorubicin biosynthesis
PWY-7354	Antibiotic-Biosynthesis	aclacinomycin biosynthesis
PWY-7355	Antibiotic-Biosynthesis	doxorubicin biosynthesis
PWY-7419	Antibiotic-Biosynthesis	FR-900098 and FR-33289 antibiotics biosynthesis
PWY-7441	Antibiotic-Biosynthesis	polymyxin A biosynthesis
PWY-7483	Antibiotic-Biosynthesis	elloramycin biosynthesis
PWY-7485	Antibiotic-Biosynthesis	tetracenomycin C biosynthesis
PWY-7510	Antibiotic-Biosynthesis	rhizocticin A and B biosynthesis
PWY-7547	Antibiotic-Biosynthesis	prodigiosin biosynthesis
PWY-7564	Antibiotic-Biosynthesis	bacimethrin and bacimethrin pyrophosphate biosynthesis
PWY-7569	Antibiotic-Biosynthesis	arginomycin biosynthesis
PWY-7570	Antibiotic-Biosynthesis	blasticidin S biosynthesis
PWY-7575	Super-Pathways	superpathway of candicidin biosynthesis
PWY-7626	Antibiotic-Biosynthesis	bacilysin biosynthesis
PWY-6643	Coenzyme-M-Biosynthesis	coenzyme M biosynthesis II
P261-PWY	Coenzyme-M-Biosynthesis	coenzyme M biosynthesis I
PWY-7671	Antibiotic-Biosynthesis	saframycin A biosynthesis
PWY-7690	Antibiotic-Biosynthesis	holomycin biosynthesis
PWY-7693	Antibiotic-Biosynthesis	guadinomine B biosynthesis
PWY-7694	Antibiotic-Biosynthesis	zwittermicin A biosynthesis
PWY-7706	Antibiotic-Biosynthesis	dapdiamides biosynthesis
PWY-5922	Carveol-Degradation	(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation
PWY-7718	Antibiotic-Biosynthesis	actinomycin D biosynthesis
PWY-5927	Carveol-Degradation	(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation
PWY-7733	Antibiotic-Biosynthesis	3-hydroxyquinaldate biosynthesis
PWY-7734	Antibiotic-Biosynthesis	quinoxaline-2-carboxylate biosynthesis
PWY-7735	Antibiotic-Biosynthesis	echinomycin and triostin A biosynthesis
PWY-7737	Antibiotic-Biosynthesis	thiocoraline biosynthesis
PWY-7769	Antibiotic-Biosynthesis	phosalacine biosynthesis
PWY-7770	Antibiotic-Biosynthesis	indolmycin biosynthesis
PWY-7797	Antibiotic-Biosynthesis	nocardicin A biosynthesis
PWY-7809	Super-Pathways	superpathway of tetracycline and oxytetracycline biosynthesis
PWY-7810	Antibiotic-Biosynthesis	chlorotetracycline biosynthesis
PWY-7811	Antibiotic-Biosynthesis	6-methylpretetramide biosynthesis
PWY-7812	Antibiotic-Biosynthesis	tetracycline and oxytetracycline biosynthesis
PWY-7821	Antibiotic-Biosynthesis	tunicamycin biosynthesis
PWY-7863	Antibiotic-Biosynthesis	roseoflavin biosynthesis
PWY-7956	Antibiotic-Biosynthesis	3-[(<i>E</i>)-2-isocyanoethenyl]-1<i>H</i>-indole biosynthesis
PWY-8012	Antibiotic-Biosynthesis	mupirocin biosynthesis
PWY1A0-6325	Antibiotic-Biosynthesis	actinorhodin biosynthesis
PWY-7405	Aurachin-Biosynthesis	aurachin RE biosynthesis
PWY-7407	Aurachin-Biosynthesis	aurachin A, B, C and D biosynthesis
PWY-5726	s-Triazine-Degradation	deethylsimazine degradation
PWY-5171	s-Triazine-Degradation	<i>N</i>-cyclopropylmelamine degradation
PWY-5170	s-Triazine-Degradation	melamine degradation
P141-PWY	Atrazine-Degradation	atrazine degradation I (aerobic)
PWY-5731	Atrazine-Degradation	atrazine degradation III
PWY-5727	Atrazine-Degradation	atrazine degradation II
ACETATEUTIL-PWY	Super-Pathways	superpathway of acetate utilization and formation
PWY-4	UDP-Sugar-Biosynthesis	UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)
GLUCONSUPER-PWY	CARBOXYLATES-DEG	D-gluconate degradation
PWY-5724	Super-Pathways	superpathway of atrazine degradation
P441-PWY	Super-Pathways	superpathway of <i>N</i>-acetylneuraminate degradation
PWY-4861	UDP-Sugar-Biosynthesis	UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-2361	CARBOXYLATES-DEG	3-oxoadipate degradation
PWY-301	CARBOXYLATES-DEG	cyclohexane-1-carboxylate degradation (anaerobic)
PWY-5074	CARBOXYLATES-DEG	mevalonate degradation
PWY-5162	CARBOXYLATES-DEG	2-hydroxypenta-2,4-dienoate degradation
PWY-63	UDP-Sugar-Biosynthesis	UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)
PWY-5177	CARBOXYLATES-DEG	glutaryl-CoA degradation
PWY-7028	UDP-Sugar-Biosynthesis	UDP-<i>N,N'</i>-diacetylbacillosamine biosynthesis
HEXPPSYN-PWY	Polyprenyl-Biosynthesis	hexaprenyl diphosphate biosynthesis
PWY-5654	CARBOXYLATES-DEG	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate
PWY-5783	Polyprenyl-Biosynthesis	octaprenyl diphosphate biosynthesis
PWY-7090	UDP-Sugar-Biosynthesis	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis
PWY-5806	Polyprenyl-Biosynthesis	all-<i>trans</i>-decaprenyl diphosphate biosynthesis
PWY-6021	CARBOXYLATES-DEG	nitrilotriacetate degradation
